year,provider_state,line_count,provider_count,hcpcs_code_count,total_services,estimated_medicare_payment,estimated_submitted_charge,estimated_allowed_amount,submitted_to_allowed_ratio
2023,IL,76672,32657,9,12805858.9,818957183.8400804,2825216953.3702545,1129356885.720005,2.5016157328948134
2023,IN,41229,17448,9,6277402.0,387617074.1599711,1227515644.1200063,547414188.2199422,2.242389164430664
2024,IL,77937,33489,9,12545637.0,801967906.4700345,2904394725.519528,1111125937.4498127,2.6139203735856573
2024,IN,41567,17612,9,6175759.0,380256360.6300124,1277777602.149989,539974541.4598933,2.3663663821915497
