year,provider_state,provider_type,hcpcs_code,hcpcs_description,place_of_service,line_count,provider_count,beneficiaries,services,estimated_medicare_payment,average_services_per_beneficiary,average_charge_to_allowed_ratio
2023,IL,Internal Medicine,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,2064,2064,329152,639955.0,55854446.890020266,1.9223980380608352,1.9220608508419923
2023,IL,Emergency Medicine,99285,Emergency department visit with high level of medical decision making,F,1947,1947,365903,379039.0,54696546.70997563,1.0319304239902574,5.881267570688971
2024,IL,Internal Medicine,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,2005,2005,317969,616115.0,53336866.8700153,1.9239657508698942,1.997418974598744
2024,IL,Emergency Medicine,99285,Emergency department visit with high level of medical decision making,F,2018,2018,371663,385376.0,53053403.279960044,1.0328219980134716,6.029556343795086
2023,IL,Physical Therapist in Private Practice,97110,"Therapy procedure using exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",O,3409,3409,219032,2608828.0,45996043.74001976,12.507688390600125,3.533161536756142
2023,IL,Family Practice,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,2277,2277,294799,532055.0,44843212.85999055,1.770878542654204,1.957910739766096
2024,IL,Family Practice,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,2281,2281,293122,529124.0,44230281.239994474,1.765866463971041,2.0943695386913257
2024,IL,Physical Therapist in Private Practice,97110,"Therapy procedure using exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",O,3521,3521,217822,2494821.0,42788582.03999821,12.05500543450646,3.62859432394529
2024,IL,Nurse Practitioner,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,3252,3252,290781,435082.0,31960499.949996628,1.499455362610646,2.5775588132161684
2023,IN,Family Practice,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,1579,1579,216738,409639.0,31274296.68999267,1.7680366711968634,1.6909207311609793
2024,IN,Family Practice,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,1557,1557,208249,394677.0,29941057.9600066,1.7773598874760508,1.7974310417204145
2023,IL,Nurse Practitioner,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,2897,2897,260851,384933.0,28343799.539997574,1.472963359611215,2.5154824416021637
2024,IN,Nurse Practitioner,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,2817,2817,264322,407538.0,27726139.920000177,1.5514148847945928,2.233391726627402
2023,IN,Nurse Practitioner,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,2657,2657,249219,386845.0,26353700.700001564,1.5424717061918678,2.0769717475788143
2023,IL,Internal Medicine,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,1431,1431,129450,365408.0,23153241.62000389,2.607362792496895,2.683672751153755
2024,IL,Internal Medicine,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,1416,1416,123380,346982.0,21400116.98000399,2.567382940847089,2.9710055810985607
2023,IN,Emergency Medicine,99285,Emergency department visit with high level of medical decision making,F,877,877,153802,159599.0,21081350.39997721,1.0351185396373395,6.001526160877245
2024,IN,Emergency Medicine,99285,Emergency department visit with high level of medical decision making,F,882,882,156459,162702.0,20695166.329985842,1.036012475421892,6.2103519517473735
2023,IL,Cardiology,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,503,503,133292,208590.8,18852029.990001593,1.5156105066865655,2.0558574522035835
2023,IN,Internal Medicine,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,650,650,118452,234674.0,18471821.20999699,1.8530246328877351,1.6647005687480823
2024,IL,Cardiology,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,494,494,128603,195596.0,17614583.82000758,1.4690937637245671,2.1922282220020297
2024,IN,Internal Medicine,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,613,613,111119,221539.0,17446380.520001072,1.8681703200072013,1.7225964055587677
2023,IL,Internal Medicine,99213,"Established patient office or other outpatient visit, 20-29 minutes",O,1787,1787,174259,284675.0,17377340.729998622,1.479953374662481,1.8469761535703617
2023,IL,Nurse Practitioner,99213,"Established patient office or other outpatient visit, 20-29 minutes",O,3008,3008,236930,305464.0,15684178.9800034,1.2549849583710282,2.4095025130207146
2024,IL,Nurse Practitioner,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",O,3109,3109,240495,306890.0,15513822.96999849,1.2548580507995852,2.51569619319242
2023,IL,Family Practice,99213,"Established patient office or other outpatient visit, 20-29 minutes",O,2066,2066,174322,257866.0,15188697.639998676,1.3985475912105172,1.89318509073057
2024,IL,Internal Medicine,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",O,1706,1706,155485,248776.0,15072766.859998776,1.4540297904949309,1.936851504254936
2023,IL,Podiatry,99213,"Established patient office or other outpatient visit, 20-29 minutes",O,655,655,97502,218554.1,14370993.370001681,2.0335184369556147,1.674297444116435
2023,IN,Nurse Practitioner,99213,"Established patient office or other outpatient visit, 20-29 minutes",O,2816,2816,228988,301909.0,14290183.469998898,1.3053641285089308,2.050664917176213
2024,IN,Nurse Practitioner,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",O,2812,2812,222541,290167.0,13675268.090004055,1.29224650890296,2.18829737160742
2024,IL,Podiatry,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",O,654,654,94978,211266.0,13660477.269999078,2.0165250454784376,1.7656648184429427
2023,IN,Physical Therapist in Private Practice,97110,"Therapy procedure using exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",O,1209,1209,78518,808838.0,13513499.289995871,10.85784376244964,3.616797801140038
2023,IL,Hospitalist,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,874,874,92752,208318.0,13229326.389997019,2.091579053966579,2.5255589577187036
2024,IL,Family Practice,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",O,2011,2011,158108,225289.0,13124883.07000064,1.354452360518487,2.0431604805789467
2024,IN,Physical Therapist in Private Practice,97110,"Therapy procedure using exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",O,1222,1222,77455,779609.0,12740877.350000182,10.757847826253474,3.6914808372586223
2024,IL,Ophthalmology,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,387,387,97473,139567.0,12611033.340002662,1.3570200580112877,1.914530270133724
2024,IL,Dermatology,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",O,429,429,138002,189789.0,11872891.98000266,1.334550280066851,2.1177398702359254
2023,IN,Internal Medicine,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,701,701,74364,199701.0,11766328.250001578,2.3591676699640405,2.3462813592854466
2024,IL,Hospitalist,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,900,900,83919,187062.0,11663654.549998866,2.052697730411997,2.7897124053654383
2024,IL,Physician Assistant,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,1395,1395,114284,156598.0,11588499.060003037,1.3106659015759932,2.6272317532192018
2023,IL,Ophthalmology,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,376,376,90753,127221.0,11495465.150000911,1.327115920099523,1.8288154915390202
2023,IL,Dermatology,99213,"Established patient office or other outpatient visit, 20-29 minutes",O,417,417,133456,182025.0,11428918.339997578,1.3326566295782853,2.1008853624265633
2023,IN,Cardiology,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,328,328,89766,134656.0,11152078.259992722,1.4056196679437052,1.7908818061525698
2024,IN,Cardiology,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,322,322,90605,134222.0,11041044.139995368,1.411124218882401,1.8679129857123808
2024,IN,Internal Medicine,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,710,710,73231,191928.0,11030397.609996784,2.3559827930158974,2.366488469037305
2023,IL,Hematology-Oncology,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,283,283,48171,120903.0,10888879.77999857,2.3373741606230385,2.335816970521301
2023,IN,Family Practice,99213,"Established patient office or other outpatient visit, 20-29 minutes",O,1522,1522,129554,201933.0,10835594.94000092,1.4002540904562273,1.6890788523117464
2024,IL,Hematology-Oncology,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,296,296,49352,117752.0,10578809.490008404,2.1499017262880558,2.487817804875811
2023,IL,Physician Assistant,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,1241,1241,101752,141070.0,10554453.610001376,1.3085717701139836,2.531713523888556
2024,IL,Physician Assistant,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",O,1537,1537,160344,201998.0,10528989.220002316,1.2096953030733848,2.5704060243929017
2024,IL,Internal Medicine,99215,"Established patient office or other outpatient visit with high level of medical decision making, if using time, 40 minutes or more",O,906,906,53159,78976.0,10243317.15000274,1.3691173196383695,1.9671850119788312
2023,IL,Internal Medicine,99215,"Established patient office or other outpatient visit, 40-54 minutes",O,901,901,53175,77444.0,9997990.390005253,1.3496749902509357,1.905764784366231
2023,IL,Physician Assistant,99213,"Established patient office or other outpatient visit, 20-29 minutes",O,1461,1461,149796,188611.0,9956770.099994048,1.2096594711226116,2.4212905454183837
2024,IN,Family Practice,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",O,1479,1479,117840,178656.0,9504187.350003146,1.3751213854735107,1.7804171203119759
2023,IL,Orthopedic Surgery,99213,"Established patient office or other outpatient visit, 20-29 minutes",O,631,631,95589,141498.0,9385404.209996538,1.4092449769509314,2.189057275143535
2024,IL,Urology,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,273,273,67824,99626.0,9299928.119988386,1.3689974734568764,2.227792498123379
2023,IL,Urology,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,273,273,65501,95775.0,8903273.249986172,1.3553637641886702,2.1036955239787263
2024,IL,Orthopedic Surgery,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,580,580,71401,94080.0,8812642.659997,1.258543835093921,2.3209674973661447
2023,IL,Nephrology,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,342,342,46592,134896.0,8695114.510001037,2.700683005861288,2.25642860190434
2023,IL,Interventional Cardiology,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,199,199,65406,95306.0,8683660.559996616,1.37379038004634,2.06993896767052
2024,IL,Interventional Cardiology,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,195,195,64780,94588.0,8576240.369998844,1.3795465021025577,2.1690953473759675
2024,IL,Orthopedic Surgery,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",O,621,621,88987,129772.0,8505330.32999814,1.3932813883291522,2.300784508915859
2023,IL,Orthopedic Surgery,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,588,588,67497,87943.0,8313823.530000349,1.2392133815092328,2.2286110892937048
2024,IL,Nephrology,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,333,333,43920,124501.0,7799342.4100016095,2.6966907149021138,2.4510251933813407
2024,IL,Dermatology,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,389,389,62080,85110.0,7691945.600003157,1.3263936365314124,2.1876055661275617
2023,IL,Cardiology,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,452,452,45474,115985.0,7498684.180000017,2.1612750882231646,2.306180824669154
2023,IL,Dermatology,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,384,384,56698,76739.0,7010810.9300070265,1.3047054938231202,2.16802052326847
2023,IL,Endocrinology,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,210,210,44285,75682.0,6720775.029992599,1.6259700503116943,2.1470177021763606
2024,IL,Endocrinology,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,215,215,44060,75475.0,6712530.750003512,1.6262765968994533,2.2116519492640623
2024,IL,Nurse Practitioner,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,963,963,56402,120939.0,6452959.09999811,1.8354223694952514,3.1907993700450255
2024,IL,Cardiology,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,436,436,39020,101506.0,6436107.379999298,2.1328299482683453,2.4840208648159314
2023,IL,Ophthalmology,99213,"Established patient office or other outpatient visit, 20-29 minutes",O,359,359,65329,98105.0,6327175.559999206,1.3599662102417454,1.8199145980733857
2023,IL,Physical Medicine and Rehabilitation,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,165,165,24566,97160.0,6312066.11000495,3.6439848302066986,2.6407256307181974
2024,IL,Physical Medicine and Rehabilitation,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,171,171,24146,96818.0,6308353.219999031,3.534785861997586,2.579466931986639
2023,IL,Nurse Practitioner,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,919,919,54409,114019.0,6183496.070000293,1.7871380368370111,2.9358721118850313
2024,IL,Hematology-Oncology,99215,"Established patient office or other outpatient visit with high level of medical decision making, if using time, 40 minutes or more",O,248,248,18244,45434.0,6156835.260005149,2.151849260639392,2.3899116263283604
2024,IL,Ophthalmology,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",O,359,359,63580,96372.0,6143384.51000409,1.359884257742642,1.8765502051840373
2023,IL,Pulmonary Disease,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,254,254,41198,63564.0,5917254.309992058,1.4487792161977595,2.1186687724848263
2024,IL,Pulmonary Disease,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,261,261,41571,63584.0,5870818.209995915,1.453760535353886,2.178653708651679
2024,IN,Physician Assistant,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,713,713,59331,83097.0,5829648.189997989,1.2859392436781918,2.273017032084826
2024,IL,Nephrology,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,287,287,43755,76969.0,5824517.960003094,1.774955836115116,2.314286590610291
2023,IL,Nephrology,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,293,293,43922,76376.0,5775800.289998216,1.748316861287636,2.230788859890509
2023,IL,Neurology,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,330,330,40486,63131.0,5726277.609999753,1.481133361284063,2.1234637054121737
2024,IN,Dermatology,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",O,152,152,72642,99807.0,5677175.729997059,1.3506131278082014,1.8229969963042247
2024,IL,Neurology,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,349,349,40190,62567.0,5668228.560003102,1.4786434591197293,2.277345328700895
2024,IN,Ophthalmology,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,199,199,50420,69318.0,5661583.430006109,1.263569737991056,1.598504469864268
2023,IN,Ophthalmology,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,193,193,49472,69285.0,5661346.1900021015,1.2622998367023601,1.5977884910205906
2024,IN,Physician Assistant,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",O,897,897,91398,115140.0,5627312.7200020505,1.1993371244133626,2.2497373983791666
2023,IN,Hospitalist,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,341,341,41355,93831.0,5542741.26999908,2.147484406865079,2.304223911913532
2024,IL,Psychiatry,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,366,366,20790,62964.0,5536468.660002818,3.1714824793146605,1.9861104753293068
2023,IL,Hematology-Oncology,99215,"Established patient office or other outpatient visit, 40-54 minutes",O,229,229,16675,40864.0,5478918.880015571,2.161208268173383,2.2576318616290774
2024,IL,Family Practice,99215,"Established patient office or other outpatient visit with high level of medical decision making, if using time, 40 minutes or more",O,763,763,31561,43318.0,5477610.670011951,1.2770469968596587,2.0166143045346048
2024,IL,Rheumatology,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,164,164,29824,58331.0,5354470.729996219,1.826576378381753,2.285530230778302
2023,IN,Dermatology,99213,"Established patient office or other outpatient visit, 20-29 minutes",O,153,153,68556,94349.0,5325604.339998576,1.332327765919959,1.7997971576960745
2023,IL,Psychiatry,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,361,361,20916,60931.0,5303513.520000939,3.0485883422015165,1.8926359252203662
2023,IL,Rheumatology,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,153,153,29772,58097.0,5293806.869999015,1.8571146197872848,2.188940412587416
2023,IN,Physician Assistant,99213,"Established patient office or other outpatient visit, 20-29 minutes",O,810,810,85431,107570.0,5260134.249997634,1.1929504486908808,2.1244288632503623
2023,IL,Family Practice,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,479,479,28875,82536.0,5211022.629999807,2.6273974148012185,2.5778588391921065
2023,IL,Occupational Therapist in Private Practice,97110,"Therapy procedure using exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",O,522,522,20307,295204.0,5208620.550002967,13.789896221164952,3.1178468179606234
2024,IL,Nurse Practitioner,99215,"Established patient office or other outpatient visit with high level of medical decision making, if using time, 40 minutes or more",O,800,800,35097,45816.0,5099844.879992897,1.2319070959307383,2.629601133189299
2024,IL,Occupational Therapist in Private Practice,97110,"Therapy procedure using exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",O,525,525,21374,296598.0,5093611.590000295,13.591394595964404,3.1279847523608986
2023,IL,Family Practice,99215,"Established patient office or other outpatient visit, 40-54 minutes",O,718,718,29338,40171.0,5074913.9099947,1.2689918220855028,1.894397777675602
2023,IL,Urology,99213,"Established patient office or other outpatient visit, 20-29 minutes",O,260,260,57767,78196.0,5068965.700002339,1.2871850736702897,2.035686747012268
2023,IN,Internal Medicine,99213,"Established patient office or other outpatient visit, 20-29 minutes",O,590,590,58620,92576.0,5039613.689998996,1.4384317028717735,1.6673988917598868
2024,IN,Hospitalist,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,307,307,37004,86342.0,4957222.660001969,2.1745113411819204,2.447814668111116
2023,IN,Orthopedic Surgery,99213,"Established patient office or other outpatient visit, 20-29 minutes",O,426,426,56782,81683.0,4944661.290000096,1.3732161745193907,1.869596000240078
2024,IN,Podiatry,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",O,251,251,41207,81263.0,4915673.890000464,1.8709119008110513,1.7272131160655175
2023,IN,Physician Assistant,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,633,633,50335,69886.0,4876611.310001363,1.270336406128377,2.1238182151259033
2023,IN,Hematology-Oncology,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,110,110,22043,56609.0,4876597.670001245,2.3267173058169472,1.9617694616909036
2023,IN,Urology,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,175,175,41792,57559.0,4855341.730000466,1.3243457850619407,1.9665615775059102
2024,IN,Urology,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,180,180,41273,56602.0,4769170.059997594,1.3220300761392094,1.993462563961526
2023,IN,Nurse Practitioner,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,656,656,37744,95583.0,4756942.829998187,1.8951443994967954,2.504140319758101
2024,IN,Nurse Practitioner,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,705,705,39309,96441.0,4702278.849999686,1.9286149908655261,2.5722378750157646
2023,IN,Podiatry,99213,"Established patient office or other outpatient visit, 20-29 minutes",O,254,254,40001,77640.0,4681157.250000965,1.792331924112707,1.6230095254206862
2024,IL,Cardiology,99215,"Established patient office or other outpatient visit with high level of medical decision making, if using time, 40 minutes or more",O,287,287,26119,35273.0,4638055.730009001,1.2273581587835058,2.151401941143221
2024,IL,Urology,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",O,258,258,54072,71150.0,4609128.260001876,1.241884366856565,2.1947005605321426
2024,IN,Optometry,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,485,485,47109,58253.0,4594524.490000545,1.1831965392111474,1.2785959537121516
2023,IL,Cardiology,99215,"Established patient office or other outpatient visit, 40-54 minutes",O,290,290,25301,34806.0,4573546.970003194,1.2175593071440902,2.0426043985638134
2024,IL,Family Practice,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,433,433,26463,74009.0,4551914.239999158,2.634378988194849,2.9155459892229043
2024,IN,Orthopedic Surgery,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",O,398,398,53305,75590.0,4538598.630000297,1.3616164245216116,1.9514259436177708
2023,IL,Nurse Practitioner,99215,"Established patient office or other outpatient visit, 40-54 minutes",O,657,657,31806,40816.0,4513788.050007925,1.2175464476025668,2.544497604250513
2024,IN,Optometry,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",O,698,698,60576,80689.0,4469648.749999702,1.3045272263466832,1.252334175261851
2023,IL,Infectious Disease,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,209,209,29067,68933.0,4449636.490000655,2.0633163670155046,2.289588764716353
2024,IL,Optometry,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",O,748,748,54458,74026.0,4383861.400002079,1.3162314401776603,1.4161417066432065
2024,IL,Nurse Practitioner,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",F,653,653,48696,72351.0,4376797.819999737,1.437501406823139,3.403973597827595
2024,IN,Internal Medicine,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",O,531,531,50102,78257.0,4298556.259999926,1.4216325055662837,1.710421847663983
2023,IN,Optometry,99213,"Established patient office or other outpatient visit, 20-29 minutes",O,667,667,58689,78209.0,4294323.239998046,1.2968566921563878,1.2508919730228976
2024,IN,Hematology-Oncology,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,106,106,20103,49914.0,4253362.120003511,2.1756085209534652,2.061539899018264
2023,IL,Pulmonary Disease,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,266,266,22744,64682.0,4177740.870003091,2.312546985729764,2.2859248044472236
2023,IL,Nurse Practitioner,99214,"Established patient office or other outpatient visit, 30-39 minutes",F,605,605,44932,67412.0,4147249.970002158,1.422790124582522,3.201829252568523
2023,IL,Optometry,99213,"Established patient office or other outpatient visit, 20-29 minutes",O,699,699,52448,70557.0,4141513.450000312,1.320170869701378,1.3622129694101361
2024,IL,Optometry,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,515,515,40800,48161.0,4050435.689997774,1.1609469924882467,1.4152161748092025
2024,IN,Orthopedic Surgery,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,374,374,35104,47137.0,4043129.32999966,1.2319725675979787,1.9876459560659765
2024,IL,Orthopedic Surgery,99204,"New patient office or other outpatient visit with moderate level of medical decision making, if using time, 45 minutes or more",O,484,484,33190,33193.0,3972425.849998145,1.0000938620009767,2.5965766573564273
2023,IN,Optometry,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,439,439,40601,50328.0,3947477.480002021,1.1781090589554555,1.2484040370784462
2024,IL,Gastroenterology,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,394,394,33142,42100.0,3896961.919994875,1.2035777200649722,2.1771184582275374
2023,IN,Neurology,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,198,198,30384,46220.0,3829174.390000055,1.4038255188490856,1.763931454925297
2023,IN,Orthopedic Surgery,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,370,370,33927,44327.0,3826132.449998913,1.21219436616,1.8773563785448355
2023,IL,Orthopedic Surgery,99204,"New patient office or other outpatient visit, 45-59 minutes",O,475,475,31610,31614.0,3825766.370003172,1.000117535854378,2.5162254718610293
2024,IL,Infectious Disease,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,204,204,25312,60687.0,3820142.459997713,2.0966894959456535,2.3614756433412776
2023,IL,Gastroenterology,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,378,378,32782,41131.0,3783177.520001317,1.201812842882565,2.041612647668374
2024,IN,Ophthalmology,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",O,212,212,42213,64231.0,3756308.120002559,1.388258739485761,1.6169777831186665
2023,IN,Family Practice,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,244,244,19906,63638.0,3741686.080001669,2.590181466420731,2.146641369998006
2024,IL,Podiatry,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,394,394,24231,39950.0,3702910.689997177,1.5131153952212595,1.884471516739226
2024,IL,Pulmonary Disease,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,261,261,20621,57566.0,3647692.5799975228,2.291605085954302,2.4080251882932013
2023,IN,Nephrology,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,176,176,20668,61807.0,3644591.320001366,2.6665307258876925,2.0504866730988676
2023,IL,Optometry,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,509,509,36918,43368.0,3637861.469999633,1.1480780407477134,1.355617333148636
2023,IL,Clinical Cardiac Electrophysiology,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,109,109,26776,38312.0,3623330.6699990933,1.3080142852874086,2.082861165700814
2024,IL,Clinical Cardiac Electrophysiology,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,112,112,27356,38387.0,3603715.939999883,1.2851152480692687,2.183723415970268
2023,IL,Podiatry,99203,"New patient office or other outpatient visit, 30-44 minutes",O,568,568,45799,45805.0,3561521.479998364,1.0001338194534934,1.857435340688985
2024,IN,Neurology,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,190,190,29154,42852.0,3553648.189998097,1.362530759651048,1.7993771764976179
2023,IN,Ophthalmology,99213,"Established patient office or other outpatient visit, 20-29 minutes",O,203,203,41916,61622.0,3546912.969997758,1.3721514496714844,1.618988189220723
2023,IL,Otolaryngology,99213,"Established patient office or other outpatient visit, 20-29 minutes",O,246,246,38000,53861.0,3523345.4999999697,1.3232454918930903,2.028607486048639
2024,IN,Family Practice,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,242,242,19462,60958.0,3503678.639998342,2.4703673164370765,2.260006461063391
2023,IL,Podiatry,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,364,364,22077,36562.0,3482660.179999774,1.534801958094713,1.7349985175773277
2024,IL,Otolaryngology,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",O,242,242,37257,53107.0,3466552.259998656,1.325383752138969,2.136565440293016
2024,IN,Nephrology,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,166,166,19402,57816.0,3362483.679998911,2.651527875202164,2.0848576194605566
2023,IL,Ophthalmology,99204,"New patient office or other outpatient visit, 45-59 minutes",O,330,330,29498,29500.0,3360613.349995107,1.000032693984307,1.946654863368934
