year,provider_state,provider_type,hcpcs_code,hcpcs_description,place_of_service,line_count,provider_count,beneficiaries,services,estimated_medicare_payment,average_services_per_beneficiary,average_charge_to_allowed_ratio
2024,IL,Infectious Disease,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",F,69,69,2150,3149.0,229492.349999958,1.4640645804011094,3.0402018099776105
2024,IL,Orthopedic Surgery,99204,"New patient office or other outpatient visit with moderate level of medical decision making, if using time, 45 minutes or more",F,57,57,2311,2311.0,229402.369999373,1.0,3.3149352978871858
2024,IN,Internal Medicine,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",O,3,3,513,3859.0,229124.889999804,7.5409881745694785,1.9336397315635374
2024,IL,Neurology,99204,"New patient office or other outpatient visit with moderate level of medical decision making, if using time, 45 minutes or more",F,72,72,2283,2283.0,227621.10999890498,1.0,2.995347212296213
2024,IL,Cardiology,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",F,53,53,4203,5052.0,227063.509999995,1.1000808569853102,2.5969010072288023
2023,IL,Dermatology,99214,"Established patient office or other outpatient visit, 30-39 minutes",F,31,31,2259,3082.0,227004.709999658,1.2626168122599364,2.9925346230228387
2023,IN,Internal Medicine,99215,"Established patient office or other outpatient visit, 40-54 minutes",F,34,34,1366,2221.0,225443.920001811,1.4331314121138339,2.1010648011027757
2023,IN,Optometry,99203,"New patient office or other outpatient visit, 30-44 minutes",O,123,123,3591,3593.0,225258.620000135,1.0012507817385867,1.3755267398536475
2024,IL,Podiatry,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",F,40,40,1422,3049.0,225189.660000094,2.0037455176986594,2.5637797512030076
2024,IN,Rheumatology,99204,"New patient office or other outpatient visit with moderate level of medical decision making, if using time, 45 minutes or more",O,44,44,2089,2089.0,225156.490001177,1.0,1.9340750071352666
2024,IL,Infectious Disease,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",O,66,66,2345,3521.0,224394.969999974,1.4621998026381187,1.9307030794543296
2024,IN,Clinical Cardiac Electrophysiology,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",F,16,16,2403,3382.0,222912.820000126,1.256001781404721,2.4270772622654246
2024,IL,Ophthalmology,99215,"Established patient office or other outpatient visit with high level of medical decision making, if using time, 40 minutes or more",O,41,41,1468,1675.0,222657.39000005802,1.1159125247922421,2.005648204206436
2024,IL,Certified Clinical Nurse Specialist,99215,"Established patient office or other outpatient visit with high level of medical decision making, if using time, 40 minutes or more",O,23,23,1494,2022.0,222250.35000028298,1.2753918302435097,2.649717468804423
2024,IL,Optometry,99203,"New patient office or other outpatient visit with low level of medical decision making, if using time, 30 minutes or more",O,133,133,3263,3263.0,222130.539999975,1.0,1.8614272344506568
2024,IL,Thoracic Surgery,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,30,30,1759,2280.0,221249.969999922,1.1747234655065288,2.2723651104669287
2024,IN,Orthopedic Surgery,99215,"Established patient office or other outpatient visit with high level of medical decision making, if using time, 40 minutes or more",O,49,49,1678,1831.0,220878.650000535,1.0711402317777177,1.8534248795621904
2024,IL,Pulmonary Disease,99204,"New patient office or other outpatient visit with moderate level of medical decision making, if using time, 45 minutes or more",F,63,63,2223,2224.0,220652.67999884,1.0004409171075839,3.0078689230535844
2023,IL,General Surgery,99204,"New patient office or other outpatient visit, 45-59 minutes",F,70,70,2175,2175.0,219252.290000796,1.0,2.7814267196580893
2024,IL,Radiation Oncology,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",O,40,40,2936,3778.0,219181.200000068,1.2493397673137185,2.609230180337716
2023,IN,Hand Surgery,99203,"New patient office or other outpatient visit, 30-44 minutes",O,32,32,3113,3113.0,217571.190000065,1.0,2.295097819918805
2023,IL,Plastic and Reconstructive Surgery,99204,"New patient office or other outpatient visit, 45-59 minutes",O,46,46,1764,1764.0,217158.20999882,1.0,2.7638480353818373
2024,IN,Hematology-Oncology,99204,"New patient office or other outpatient visit with moderate level of medical decision making, if using time, 45 minutes or more",O,56,56,1963,1963.0,212522.200000502,1.0,2.297126056719393
2023,IL,Internal Medicine,97110,"Therapy procedure using exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",O,13,13,509,10630.0,212473.709999502,18.558282108304347,2.424180233549664
2023,IN,Vascular Surgery,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,41,41,2047,2388.0,212124.329999908,1.1463519044351085,1.6795322347790504
2023,IL,Podiatry,99214,"Established patient office or other outpatient visit, 30-39 minutes",F,35,35,1266,2822.0,211705.649999976,2.019163816482662,2.5343242207524512
2024,IL,General Surgery,99204,"New patient office or other outpatient visit with moderate level of medical decision making, if using time, 45 minutes or more",F,66,66,2147,2147.0,210955.849999911,1.0,3.038567223121812
