provider_state,provider_city,market,records,providers,service_families,services,estimated_payment,median_charge_to_allowed_ratio,top_priority_records
IL,DOWNERS GROVE,"DOWNERS GROVE, IL",587,255,6,90115,6038777.450000422,2.155518267111996,60
IL,GURNEE,"GURNEE, IL",485,179,6,90093,5396651.9800007045,2.16175084524458,57
IN,JEFFERSONVILLE,"JEFFERSONVILLE, IN",476,183,6,87471,5826651.520005491,2.0725997002673937,66
IN,MISHAWAKA,"MISHAWAKA, IN",499,197,6,86281,5505263.789997965,2.336063321057549,85
IN,COLUMBUS,"COLUMBUS, IN",663,253,6,85803,5360735.649998457,2.3913515648139003,62
IL,URBANA,"URBANA, IL",911,419,6,85732,5926330.210003888,2.994228196900039,57
IL,NEW LENOX,"NEW LENOX, IL",368,133,6,85706,5658789.279997742,2.168830966836243,54
IL,MCHENRY,"MCHENRY, IL",454,215,6,83122,5481827.520003428,2.601526619239237,47
IL,BELLEVILLE,"BELLEVILLE, IL",487,240,6,82548,5147200.430001315,2.1667159093372748,44
IL,CRYSTAL LAKE,"CRYSTAL LAKE, IL",478,182,6,80743,5353145.810002676,2.158276866421922,57
IN,ANDERSON,"ANDERSON, IN",599,238,6,77264,4881582.720001035,1.7235245616672032,39
IN,MICHIGAN CITY,"MICHIGAN CITY, IN",415,161,6,77190,4221543.439997732,2.328946041802994,68
IL,TINLEY PARK,"TINLEY PARK, IL",384,159,6,76826,4277222.259996949,2.0754822023905044,46
IL,CARBONDALE,"CARBONDALE, IL",480,215,6,76815,5496626.519998641,2.081023108460593,52
IL,DES PLAINES,"DES PLAINES, IL",368,171,6,76734,4465114.489999964,2.02439684342431,41
IL,WESTMONT,"WESTMONT, IL",356,158,6,76489,4094661.5500038816,2.0331838199958034,38
IN,FISHERS,"FISHERS, IN",567,255,6,73924,4105482.4300013375,1.8296864006758884,36
IL,BUFFALO GROVE,"BUFFALO GROVE, IL",264,115,5,73334,3403487.9900076054,1.964488352687774,36
IN,DYER,"DYER, IN",329,121,6,72391,5005876.009998955,2.1187250425948907,66
IL,LAKE FOREST,"LAKE FOREST, IL",596,250,6,71359,5718200.460015303,2.642036261389661,55
IL,BARRINGTON,"BARRINGTON, IL",394,149,6,70339,5190015.150008736,2.2403699230221212,54
IL,OAK PARK,"OAK PARK, IL",447,225,6,70151,3855266.5399996256,2.3390090143169333,37
IL,O FALLON,"O FALLON, IL",416,147,6,69415,5151188.059997603,2.274821962606035,41
IL,MOUNT VERNON,"MOUNT VERNON, IL",290,116,6,68125,3594533.9400021536,2.794564818580981,51
IN,AVON,"AVON, IN",516,222,6,67025,4191353.3799985778,1.7639066250387592,39
IL,BOURBONNAIS,"BOURBONNAIS, IL",282,111,6,66147,3159296.4600018333,2.031665541511221,29
IL,OLYMPIA FIELDS,"OLYMPIA FIELDS, IL",400,182,6,65048,5021955.690001176,2.407290231324694,51
IL,MORTON GROVE,"MORTON GROVE, IL",237,94,6,64585,3714888.979999332,2.202206333354384,29
IL,KANKAKEE,"KANKAKEE, IL",321,128,6,62869,4405615.059997199,1.9957810592293757,43
IN,JASPER,"JASPER, IN",285,109,6,62849,3459044.5399999577,1.9231639483426122,38
IL,HIGHLAND PARK,"HIGHLAND PARK, IL",308,118,6,61330,3293820.980002768,1.9217242230215679,33
IL,LOMBARD,"LOMBARD, IL",395,154,6,61286,3990909.4799984656,2.0446617425149944,38
IL,NORTHBROOK,"NORTHBROOK, IL",247,108,6,60364,3148293.789995996,1.813090564666131,28
IL,NORMAL,"NORMAL, IL",366,158,6,59662,3574511.6500024656,2.8235389760480496,39
IL,ALGONQUIN,"ALGONQUIN, IL",242,107,5,59563,3057191.5599955004,2.602681554635977,34
IN,NOBLESVILLE,"NOBLESVILLE, IN",404,166,6,59522,3400782.660002426,1.924650132208591,38
IL,BOLINGBROOK,"BOLINGBROOK, IL",342,157,6,56752,3294174.0000004563,2.56106468206864,39
IL,EVERGREEN PARK,"EVERGREEN PARK, IL",309,111,6,56222,4084640.9800001676,2.2191303616764237,44
IL,SYCAMORE,"SYCAMORE, IL",328,104,6,54130,3636887.790001895,1.9016214337836366,37
IL,HUNTLEY,"HUNTLEY, IL",239,114,6,53341,2828479.139999288,2.6786636073835752,27
IN,HOBART,"HOBART, IN",275,93,6,51518,3309651.9099972676,2.31043290651633,50
IL,MATTOON,"MATTOON, IL",369,163,6,51219,3259897.5900035654,3.0123454359603428,35
IL,DEKALB,"DEKALB, IL",208,97,6,51067,2522229.649996398,2.2542918832043353,22
IL,EFFINGHAM,"EFFINGHAM, IL",285,101,6,50037,3585271.6300044237,2.42961983369406,35
IL,MOUNT PROSPECT,"MOUNT PROSPECT, IL",216,83,5,48479,3116536.100003489,2.0247089132014318,32
IL,NILES,"NILES, IL",235,88,5,47952,2843930.560000948,2.059749579798896,27
IN,GOSHEN,"GOSHEN, IN",422,161,6,47891,3028397.7800031207,2.234836574395856,40
IL,BANNOCKBURN,"BANNOCKBURN, IL",152,52,5,47136,2916716.660001783,2.2059082422949126,29
IL,PALATINE,"PALATINE, IL",116,66,6,46720,2179298.0500009777,1.8910619936609494,11
IN,VINCENNES,"VINCENNES, IN",268,118,6,46494,2964060.539999355,1.7218375421786565,34
IL,ALTON,"ALTON, IL",337,139,6,45864,2906847.19999911,2.3183157987753074,28
IL,MARION,"MARION, IL",198,84,6,44797,2231501.9400044894,2.2691565067437045,24
IL,BERWYN,"BERWYN, IL",294,129,6,44791,3270298.2099991376,3.1386897573579997,32
IL,MELROSE PARK,"MELROSE PARK, IL",219,94,6,44266,2914906.3800057834,1.9634426358866384,31
IL,HERRIN,"HERRIN, IL",221,94,5,43148,2433259.419997143,2.1881336629401313,20
IL,ST CHARLES,"ST CHARLES, IL",238,96,6,42208,2269788.3800010374,1.9377472350897476,13
IL,MORRIS,"MORRIS, IL",253,105,6,41878,2942581.730000654,1.8460887969963402,21
IL,ROLLING MEADOWS,"ROLLING MEADOWS, IL",194,65,5,40012,3082484.6700034095,1.9544393615302376,30
IN,LA PORTE,"LA PORTE, IN",231,78,6,39943,2297228.389999827,2.394378870338625,34
IN,PORTAGE,"PORTAGE, IN",189,68,5,39627,2154507.999997521,2.336151999617974,32
IL,LISLE,"LISLE, IL",300,103,6,39107,2753310.9599964195,1.9955392780473438,20
IL,OAK BROOK,"OAK BROOK, IL",178,106,5,38890,1597849.82999814,2.515466496781249,23
IL,BLOOMINGDALE,"BLOOMINGDALE, IL",257,106,6,38616,2282103.8500006087,1.9611521972523027,22
IL,WARRENVILLE,"WARRENVILLE, IL",293,105,5,38158,3202413.080004788,1.777707497032051,25
IN,CHESTERTON,"CHESTERTON, IN",165,70,5,37985,2128193.029998821,2.128599282581004,35
IL,STERLING,"STERLING, IL",224,77,4,37367,2178560.599999277,2.277721734734558,22
IL,LAKE BARRINGTON,"LAKE BARRINGTON, IL",192,64,5,35952,2555776.0299975197,2.31204068750996,20
IN,GRANGER,"GRANGER, IN",173,73,6,35613,1809513.560000892,2.324005836361353,30
IL,FRANKFORT,"FRANKFORT, IL",105,54,6,35591,1347939.969996948,2.1290827692305303,21
IL,GLEN ELLYN,"GLEN ELLYN, IL",244,94,5,35173,2186185.94000258,1.9141039082783426,11
IL,PLAINFIELD,"PLAINFIELD, IL",226,105,6,34966,2103605.8499988616,2.145600547321334,25
IL,MOKENA,"MOKENA, IL",211,83,5,34522,2096155.3799991743,1.821740494733406,13
IN,SEYMOUR,"SEYMOUR, IN",269,114,6,33797,2219825.2600009637,1.7986303193456297,25
IL,HAZEL CREST,"HAZEL CREST, IL",204,108,6,33181,2171154.200000604,2.2065572862841045,27
IN,MARION,"MARION, IN",211,93,6,32698,1962349.5500014436,1.6126946148888508,14
IL,BURR RIDGE,"BURR RIDGE, IL",221,102,6,32150,1969515.34999718,2.324049280451214,15
IL,HARVEY,"HARVEY, IL",130,53,6,31549,2374842.5300032236,1.8563707143209411,23
IN,HIGHLAND,"HIGHLAND, IN",130,47,5,31265,1960921.9399978917,1.9449564878660446,27
IL,GRAYSLAKE,"GRAYSLAKE, IL",154,66,5,31009,1590725.810002826,2.397283009522946,17
IL,MARYVILLE,"MARYVILLE, IL",276,108,6,30866,2273430.489997717,2.456654374430845,26
IL,WOODSTOCK,"WOODSTOCK, IL",151,70,5,30388,1931886.869999878,2.2591696593759614,17
IN,GREENFIELD,"GREENFIELD, IN",232,100,6,30355,1858025.9000003021,1.5843418975841892,18
IL,CHICAGO RIDGE,"CHICAGO RIDGE, IL",160,48,5,30258,2582664.019991862,1.997402385057339,29
IN,WEST LAFAYETTE,"WEST LAFAYETTE, IN",185,91,6,29561,1428416.380002002,1.8850134238313523,16
IL,CENTRALIA,"CENTRALIA, IL",117,41,6,29504,1992616.90999908,2.52642774929062,27
IN,DANVILLE,"DANVILLE, IN",281,121,6,29048,2125854.119994521,1.3432049282858232,13
IL,DEERFIELD,"DEERFIELD, IL",115,51,4,27542,1604087.579998609,1.9410338874865314,14
IL,OAKBROOK TERRACE,"OAKBROOK TERRACE, IL",71,36,5,27454,1664205.830004094,2.078594076837369,18
IL,GALESBURG,"GALESBURG, IL",149,66,6,27230,1857365.7299989867,2.445496707277969,23
IN,MADISON,"MADISON, IN",164,65,6,27173,1907372.0199997195,2.2860587314269387,26
IL,DANVILLE,"DANVILLE, IL",194,85,6,26876,1516819.029999478,2.7895253993587197,15
IN,LEBANON,"LEBANON, IN",188,79,6,26868,1817559.000001298,1.6492041443632988,15
IL,PERU,"PERU, IL",87,40,5,26260,1080678.009997323,2.7516416294843316,10
IL,WESTCHESTER,"WESTCHESTER, IL",102,46,5,26254,1293508.8599988245,2.8856732943490098,18
IL,DIXON,"DIXON, IL",162,63,5,26242,1277887.380001852,1.095517293761807,12
IN,WARSAW,"WARSAW, IN",218,86,5,25562,1704467.2199983457,1.7658239770013053,11
IL,PALOS PARK,"PALOS PARK, IL",120,31,5,24899,2032503.6600029496,1.7313083923235668,14
IL,BARTLETT,"BARTLETT, IL",136,60,6,24590,1233904.2999990706,2.130369001751117,10
IL,CREST HILL,"CREST HILL, IL",93,34,5,24422,1301654.240000791,2.6406607808769795,11
IL,LINCOLNSHIRE,"LINCOLNSHIRE, IL",154,51,5,24234,1335395.479999624,2.1382370002033415,9
IN,SCHERERVILLE,"SCHERERVILLE, IN",118,46,5,23527,1548899.75000144,2.2375061313145994,21
IN,LAWRENCEBURG,"LAWRENCEBURG, IN",188,69,6,23395,1399288.620002583,2.5175130097203757,19
IL,WILLOWBROOK,"WILLOWBROOK, IL",241,98,5,22763,1218187.320001549,1.6567998205039676,10
IL,LAKE ZURICH,"LAKE ZURICH, IL",105,46,5,22438,1110616.5299991304,2.1688630533628386,13
IN,PLAINFIELD,"PLAINFIELD, IN",149,72,6,22307,1297233.280000607,1.9514326654287222,11
IN,ZIONSVILLE,"ZIONSVILLE, IN",151,71,6,22186,1084742.8999999547,1.667980817331268,8
IL,OTTAWA,"OTTAWA, IL",115,53,6,22069,1284933.8600001652,2.6300426177347256,14
IL,VERNON HILLS,"VERNON HILLS, IL",174,72,6,22061,1273981.750000223,2.498220339007931,10
IN,CORYDON,"CORYDON, IN",118,55,6,21981,1301521.8400007535,2.2407492885567324,19
IL,WOODRIDGE,"WOODRIDGE, IL",128,58,5,21957,1347684.6499971752,2.1481623474229155,15
IL,HOMEWOOD,"HOMEWOOD, IL",114,49,6,21840,1492582.630004693,1.9202476651647453,10
IL,OSWEGO,"OSWEGO, IL",111,58,6,21205,874072.1099984719,2.5559081414265847,13
IL,LINCOLNWOOD,"LINCOLNWOOD, IL",79,36,5,21140,986782.6499976026,2.1063894295633823,17
IL,CAROL STREAM,"CAROL STREAM, IL",78,36,5,21077,908932.8399978984,1.8840435018158002,7
IL,BATAVIA,"BATAVIA, IL",81,37,5,20809,1227360.8000004604,2.140978003339297,8
IL,SHILOH,"SHILOH, IL",187,65,5,20634,1444337.5000007094,2.1798696447936106,13
IN,FRANKLIN,"FRANKLIN, IN",163,68,6,20304,1250374.1399983675,1.8632012039424055,18
IN,HAMMOND,"HAMMOND, IN",104,45,6,20156,1438389.090002356,2.0183341768294305,27
IL,SWANSEA,"SWANSEA, IL",115,43,4,20090,1156096.9699970966,1.922934465896583,7
IN,BEDFORD,"BEDFORD, IN",125,56,6,19530,1236145.6599991345,1.7854829239315901,14
IL,FLOSSMOOR,"FLOSSMOOR, IL",104,34,5,19195,1267156.1499980951,2.0123109673938284,10
IL,WHEELING,"WHEELING, IL",58,27,6,18980,915709.929998164,1.8323401916040543,5
IL,ADDISON,"ADDISON, IL",132,54,6,18712,1097603.0200001146,2.071910801298924,13
IL,LAKE IN THE HILLS,"LAKE IN THE HILLS, IL",49,27,5,18510,793212.08999852,2.006601348633462,8
IL,FREEPORT,"FREEPORT, IL",140,70,6,18057,1181231.5200006051,2.0099886166624,11
IL,GREENVILLE,"GREENVILLE, IL",49,43,5,17368,1487024.640003165,6.56698649066255,20
IL,MACOMB,"MACOMB, IL",69,32,6,17341,803341.6800027731,2.0859002524029506,8
IL,LA GRANGE HIGHLANDS,"LA GRANGE HIGHLANDS, IL",99,30,4,17259,1296602.549998876,2.5831774387000617,18
IL,WESTERN SPRINGS,"WESTERN SPRINGS, IL",59,27,5,16848,648440.179998933,2.2233480294759262,6
IL,LAKE BLUFF,"LAKE BLUFF, IL",83,34,5,16843,728688.700001377,1.7929839313272646,4
IN,CRAWFORDSVILLE,"CRAWFORDSVILLE, IN",113,48,6,16838,1062255.4300015573,2.289541409574375,16
IL,ROCK ISLAND,"ROCK ISLAND, IL",113,72,5,16695,1137000.229999931,2.4030066468464413,9
IL,MORTON,"MORTON, IL",90,38,6,16689,964136.1300020034,2.5240925208889102,12
IL,ZION,"ZION, IL",138,60,6,16602,1074180.5800019435,5.286827844906933,21
IN,WESTFIELD,"WESTFIELD, IN",122,63,6,16394,676747.419999682,2.0293363175647605,5
IL,PEKIN,"PEKIN, IL",104,47,6,16267,895575.8400008553,2.3271289699248325,6
IL,BRADLEY,"BRADLEY, IL",68,31,4,16047,916820.359997452,2.3554410531410057,11
IL,YORKVILLE,"YORKVILLE, IL",89,44,5,15886,681773.120000453,2.3358118493543913,9
IL,SPRING VALLEY,"SPRING VALLEY, IL",57,21,3,15452,1151561.71999861,2.022939873724844,8
IL,WILMETTE,"WILMETTE, IL",81,33,5,15348,856750.8699999813,2.113268890182203,10
IN,AUBURN,"AUBURN, IN",116,60,5,15303,799982.070001769,1.899418384356737,13
IL,HOMER GLEN,"HOMER GLEN, IL",56,24,5,15118,717773.7500000475,1.921046796075975,5
IN,CLARKSVILLE,"CLARKSVILLE, IN",83,39,5,15091,843188.0099998814,2.5927517396387167,12
IN,PLYMOUTH,"PLYMOUTH, IN",92,42,6,14957,948763.099998887,2.3901336444641874,14
IN,BROWNSBURG,"BROWNSBURG, IN",126,59,5,14954,824438.5600016369,1.383298876042054,6
IN,SAINT JOHN,"SAINT JOHN, IN",62,26,4,14934,885743.7699973229,2.3861013364506847,12
IL,EDWARDSVILLE,"EDWARDSVILLE, IL",109,48,6,14766,705496.4199993701,2.231999141538792,5
IL,LA GRANGE,"LA GRANGE, IL",76,36,6,14735,685702.309998498,2.876924882960636,10
IL,WASHINGTON,"WASHINGTON, IL",61,30,4,14612,734321.690001268,2.6245164142577693,11
IN,MOORESVILLE,"MOORESVILLE, IN",164,64,6,14325,895485.2199990816,2.327054629573801,3
IN,EAST CHICAGO,"EAST CHICAGO, IN",104,41,6,14254,965271.2500000081,2.4848753719346375,13
IL,PALOS HILLS,"PALOS HILLS, IL",86,28,5,14246,856527.21999966,1.8648236129749507,8
IL,BELVIDERE,"BELVIDERE, IL",93,35,5,13907,656658.1500000225,2.2660844081250735,8
IL,SILVIS,"SILVIS, IL",56,35,5,13684,511318.910000633,2.167463459024534,4
IL,MT PROSPECT,"MT PROSPECT, IL",79,26,5,13550,906303.33000232,1.9194268025111383,8
IL,FAIRVIEW HEIGHTS,"FAIRVIEW HEIGHTS, IL",81,34,6,13339,823561.069999715,2.3112380705057456,8
IN,SHELBYVILLE,"SHELBYVILLE, IN",127,63,5,13000,921202.13000067,2.4282899010676213,11
IN,GARY,"GARY, IN",109,60,6,12883,905361.309998979,2.7686885462729123,13
IN,LOGANSPORT,"LOGANSPORT, IN",100,46,5,12817,722447.7599994281,1.2577797299952083,9
IL,WINNETKA,"WINNETKA, IL",57,21,4,12683,843046.960005222,1.8733556857339888,9
IL,MERRIONETTE PARK,"MERRIONETTE PARK, IL",57,20,5,12218,848364.869999361,2.116358882152996,8
IL,ARLINGTON HTS,"ARLINGTON HTS, IL",60,23,5,12173,667745.940002751,1.9606737799070841,5
IN,PERU,"PERU, IN",74,32,6,12040,745086.9499997396,1.7050471164194096,11
IL,DARIEN,"DARIEN, IL",52,25,5,12029,678833.7899993826,2.2334469213886816,6
IL,WAUCONDA,"WAUCONDA, IL",82,36,5,11998,647748.1199993499,2.124791009312299,6
IL,MATTESON,"MATTESON, IL",53,29,4,11773,395859.929998389,2.069226342130876,3
IL,FOX RIVER GROVE,"FOX RIVER GROVE, IL",51,17,5,11715,712878.5800016468,2.2850134889961815,12
IN,CEDAR LAKE,"CEDAR LAKE, IN",31,12,4,11634,333665.689998483,2.1342186388427793,5
IL,BURBANK,"BURBANK, IL",77,41,6,11546,815887.279999011,2.3521249905411716,6
IL,SANDWICH,"SANDWICH, IL",67,28,6,11500,675203.969999501,2.235349203870305,5
IL,SOUTH HOLLAND,"SOUTH HOLLAND, IL",90,43,5,11306,651235.489998998,2.2369974796769805,8
IL,LEMONT,"LEMONT, IL",48,21,6,11302,699572.730000085,2.0602227375605193,10
IL,ELMWOOD PARK,"ELMWOOD PARK, IL",76,25,5,11059,674256.640000743,2.1692820817774763,6
IL,LOCKPORT,"LOCKPORT, IL",62,27,6,10943,465086.1999998021,2.0645610396777205,4
IN,BATESVILLE,"BATESVILLE, IN",82,41,6,10856,751812.0499999844,2.4864407128746358,11
IN,LAGRANGE,"LAGRANGE, IN",55,32,6,10783,634674.6800006481,1.9341045954620115,5
IN,KENDALLVILLE,"KENDALLVILLE, IN",64,31,5,10659,551637.339999587,1.8832644790633974,4
IL,GLEN CARBON,"GLEN CARBON, IL",54,27,4,10658,510244.8300000874,2.2364901581624017,5
IL,MORRISON,"MORRISON, IL",22,14,4,10614,414006.60000197496,1.977500097689354,5
IL,ITASCA,"ITASCA, IL",47,19,5,10522,601678.7000011941,2.3921341815990114,6
IN,NEW CASTLE,"NEW CASTLE, IN",106,49,6,10343,651062.0700001956,2.1464693881857055,5
IL,COLUMBIA,"COLUMBIA, IL",50,31,3,10278,349172.270000623,2.3290399203417347,3
IN,HUNTINGBURG,"HUNTINGBURG, IN",21,11,4,10184,376052.02999923,1.557800590989571,4
IN,RENSSELAER,"RENSSELAER, IN",59,24,5,10038,614345.6700003154,2.404289184937679,10
IL,HIGHLAND,"HIGHLAND, IL",58,22,6,10016,433814.2899994987,2.4648702858413314,3
IL,GRANITE CITY,"GRANITE CITY, IL",51,33,5,9985,453949.459998973,2.117609007915723,6
IL,KEWANEE,"KEWANEE, IL",16,14,5,9854,244994.470000318,2.648864902280603,3
IL,FAIRBURY,"FAIRBURY, IL",14,8,2,9787,237667.10999825,2.799220839906123,4
IL,MUNDELEIN,"MUNDELEIN, IL",54,23,6,9785,594230.4699974275,1.9747618160021319,4
IN,GREENCASTLE,"GREENCASTLE, IN",51,34,6,9780,377668.7399999748,3.3719299552148723,7
IL,SOUTH ELGIN,"SOUTH ELGIN, IL",96,42,4,9763,637582.6299993233,2.203022212156971,5
IL,WAUKEGAN,"WAUKEGAN, IL",69,41,6,9693,762773.7099943521,2.3246402829863033,6
IN,WHITING,"WHITING, IN",38,13,5,9676,468819.1199993718,1.891359030206475,8
IL,SHELBYVILLE,"SHELBYVILLE, IL",25,12,4,9646,322042.870000499,2.041248369557587,5
IL,HERSCHER,"HERSCHER, IL",21,7,3,9631,301695.7999979778,2.8723476324320067,2
IL,COUNTRYSIDE,"COUNTRYSIDE, IL",37,18,5,9610,403829.9900002396,2.1785231110595515,3
IL,JACKSONVILLE,"JACKSONVILLE, IL",73,36,5,9515,504899.879999821,2.936106983611648,8
IN,MOUNT VERNON,"MOUNT VERNON, IN",30,14,5,9463,411226.539999688,1.2734358347654688,9
IL,RIVERSIDE,"RIVERSIDE, IL",55,22,6,9450,648843.829999958,2.3668439440785813,7
IL,RIVER FOREST,"RIVER FOREST, IL",84,31,5,9141,608097.659998246,2.180340322840176,7
IL,ROSCOE,"ROSCOE, IL",71,23,4,9058,444558.7799996359,2.0360891912358583,5
IL,PONTIAC,"PONTIAC, IL",56,33,5,9051,532945.880002039,2.8178086424718556,5
IL,CRESTWOOD,"CRESTWOOD, IL",56,27,5,8921,646253.820000839,1.9026860782013884,6
IL,KILDEER,"KILDEER, IL",58,16,5,8894,728197.7000010189,1.9561029737701436,7
IL,LINDENHURST,"LINDENHURST, IL",46,22,5,8770,295818.0200004724,2.261515509145595,2
IL,MAHOMET,"MAHOMET, IL",46,20,4,8739,417136.460000221,2.522744034682642,5
IL,NORTHFIELD,"NORTHFIELD, IL",49,23,6,8669,429576.5000004125,1.7700718591808706,3
IL,ROMEOVILLE,"ROMEOVILLE, IL",51,30,5,8639,453000.7799989378,2.4191688675592067,8
IN,ANGOLA,"ANGOLA, IN",68,37,6,8568,499510.779998764,1.9376208633763037,7
IN,SELLERSBURG,"SELLERSBURG, IN",30,11,5,8462,439129.0099994645,2.283417794981662,5
IN,FLOYDS KNOBS,"FLOYDS KNOBS, IN",38,20,6,8426,463835.8299999523,1.991743147197591,5
IL,ANTIOCH,"ANTIOCH, IL",26,15,3,8400,373441.530002246,1.914692691098383,3
IL,NORTH AURORA,"NORTH AURORA, IL",34,15,5,8221,450464.7800005633,2.173607884402209,6
IL,OLNEY,"OLNEY, IL",56,19,6,8186,415346.670000352,2.930712153292093,3
IL,CARMI,"CARMI, IL",18,12,5,8127,244716.4199999211,2.1374821517612923,4
IN,COLUMBIA CITY,"COLUMBIA CITY, IN",61,33,5,8081,417730.450002287,1.8829198965584868,5
IL,LANSING,"LANSING, IL",25,16,3,7929,218904.379999574,1.7130705860438167,4
IL,ROUND LAKE BEACH,"ROUND LAKE BEACH, IL",20,11,4,7900,293248.00999909197,2.6210295408187205,4
IL,CHARLESTON,"CHARLESTON, IL",46,22,2,7838,431603.87000020203,1.857770307270694,3
IL,CARTERVILLE,"CARTERVILLE, IL",30,13,4,7831,381061.719999639,1.6546247806103407,4
IN,CONNERSVILLE,"CONNERSVILLE, IN",39,19,5,7759,424724.880001485,2.9872275757558615,7
IN,MONTICELLO,"MONTICELLO, IN",50,21,6,7696,498217.3800001659,1.5238348293821486,4
IN,BRAZIL,"BRAZIL, IN",48,22,6,7687,436607.6000011909,1.724434100403844,6
IL,CALUMET CITY,"CALUMET CITY, IL",48,18,4,7633,413317.839998312,2.0085909793512067,2
IN,WASHINGTON,"WASHINGTON, IN",61,31,6,7526,506555.4499994169,1.8169518146606278,5
IL,WATERLOO,"WATERLOO, IL",40,22,6,7501,249027.0099989106,2.964160582124321,4
IL,CHICAGO HEIGHTS,"CHICAGO HEIGHTS, IL",54,29,5,7490,800689.410001467,2.4654236824115645,11
IL,CARY,"CARY, IL",26,11,4,7436,313895.869999958,1.7324514341878552,3
IN,BROOKVILLE,"BROOKVILLE, IN",44,22,5,7404,345297.0699991114,2.906212038232873,9
IN,PORTLAND,"PORTLAND, IN",46,25,5,7347,335042.540000218,2.3858756385371827,3
IN,FRANKFORT,"FRANKFORT, IN",43,21,4,7346,389175.660000368,1.645700014179357,5
IL,WEST DUNDEE,"WEST DUNDEE, IL",46,18,4,7331,470720.650001482,2.16280379728595,4
IN,CHARLESTOWN,"CHARLESTOWN, IN",27,16,4,7312,454737.550000419,1.9482259517877452,6
IL,SUGAR GROVE,"SUGAR GROVE, IL",31,20,3,7306,217653.989999171,2.5735544571614497,3
IL,MINOOKA,"MINOOKA, IL",21,12,3,7305,272909.20000086696,1.7444606578445723,5
IL,SALEM,"SALEM, IL",28,16,5,7205,443903.830000066,2.8527598362963236,3
IL,GENESEO,"GENESEO, IL",22,14,4,7178,329206.990000144,2.2950688215197745,5
IN,PRINCETON,"PRINCETON, IN",28,14,6,7151,298288.189998328,2.399587023222634,6
IL,CICERO,"CICERO, IL",51,23,6,7038,425135.5299997958,2.096297114552521,7
IN,LINTON,"LINTON, IN",36,18,6,6922,432964.0700001844,2.1464579183661003,6
IL,SAINT CHARLES,"SAINT CHARLES, IL",36,17,4,6877,458503.620000616,2.125357505745275,6
IL,SHOREWOOD,"SHOREWOOD, IL",22,14,6,6860,224442.6600003866,3.2519526986998173,3
IN,BREMEN,"BREMEN, IN",37,15,4,6690,385076.379999551,2.2723435805740073,5
IL,ROSELLE,"ROSELLE, IL",9,7,2,6685,199868.840000488,3.1137740693725813,4
IN,SCOTTSBURG,"SCOTTSBURG, IN",24,12,5,6597,444369.459999807,3.3190078446252627,8
IL,ALTAMONT,"ALTAMONT, IL",24,10,4,6546,357620.170000056,1.7885969191565816,5
IL,PARK CITY,"PARK CITY, IL",23,8,3,6496,563596.899997352,2.003778838496073,7
IL,NORRIDGE,"NORRIDGE, IL",35,16,3,6476,187166.760000099,1.624502703316249,3
IL,LA GRANGE PARK,"LA GRANGE PARK, IL",27,20,4,6376,202777.250000806,3.034091387956343,1
IL,STREATOR,"STREATOR, IL",23,13,3,6373,210757.980000312,2.594399569927268,2
IL,ST. CHARLES,"ST. CHARLES, IL",21,7,3,6369,466222.290000448,1.474878136694496,2
IL,FORSYTH,"FORSYTH, IL",31,13,3,6356,382510.03000054,2.63399029096357,7
IN,TIPTON,"TIPTON, IN",52,23,4,6344,446293.509998951,1.5909692731092338,4
IL,OAK FOREST,"OAK FOREST, IL",38,19,5,6341,470971.5599992934,2.509524476379119,4
IL,ALSIP,"ALSIP, IL",13,10,3,6254,122589.63000116599,2.0255018523649526,2
IL,HOPEDALE,"HOPEDALE, IL",24,9,3,6196,412658.709999769,1.988702014723172,5
IL,LOVES PARK,"LOVES PARK, IL",48,25,6,6089,391443.6000000206,2.429209293832335,4
IL,MANTENO,"MANTENO, IL",33,13,4,6074,283944.259999582,1.9037154430002206,3
IN,NORTH VERNON,"NORTH VERNON, IN",34,21,5,6022,312046.630000113,1.400848041538656,2
IN,GREENSBURG,"GREENSBURG, IN",50,29,5,6002,320842.61,2.123156312304118,2
IN,DECATUR,"DECATUR, IN",60,26,5,5999,327997.069999595,1.7659289874394453,1
IL,ORLAND HILLS,"ORLAND HILLS, IL",26,9,4,5964,296242.38000001403,2.021908521287455,2
IL,LONG GROVE,"LONG GROVE, IL",40,29,5,5939,289943.880000352,1.9259034576045413,1
IL,CANTON,"CANTON, IL",43,32,5,5822,311079.040000439,1.6243640092148512,3
IL,NORTH CHICAGO,"NORTH CHICAGO, IL",61,36,4,5737,436743.589999469,2.169164783838017,5
IL,MACHESNEY PARK,"MACHESNEY PARK, IL",21,12,4,5618,120517.15000034601,1.8017693699531425,3
IL,RIVER GROVE,"RIVER GROVE, IL",9,8,3,5481,97188.86999974301,3.922657362903795,1
IL,WATSEKA,"WATSEKA, IL",40,16,5,5436,399843.72000047,2.3103481754274515,4
IL,GODFREY,"GODFREY, IL",45,21,5,5339,337715.120000722,2.358216239758325,4
IL,VANDALIA,"VANDALIA, IL",23,11,5,5304,274660.62999909103,2.188683895815221,2
IL,TROY,"TROY, IL",24,13,4,5296,195726.140000627,2.093488010889447,1
IL,MT ZION,"MT ZION, IL",18,9,3,5295,200743.859999139,2.176627718346597,0
IN,BLUFFTON,"BLUFFTON, IN",53,25,4,5232,337833.109999717,1.9190971460371797,3
IN,HUNTINGTON,"HUNTINGTON, IN",55,27,3,5209,324906.240000101,1.8864947709950757,2
