provider_state,provider_city,market,records,providers,service_families,services,estimated_payment,median_charge_to_allowed_ratio,top_priority_records
IN,WAKARUSA,"WAKARUSA, IN",3,1,1,344,27282.540000637,1.5522233297713248,0
IL,MC LEANSBORO,"MC LEANSBORO, IL",5,3,4,342,21518.019999859,2.950014237380373,0
IL,SMITHTON,"SMITHTON, IL",3,1,2,340,22088.489999971,2.12297620323792,0
IN,INDIANPOLIS,"INDIANPOLIS, IN",2,2,1,338,41534.53000046,3.2664546488411847,0
IL,FARMINGTON,"FARMINGTON, IL",3,2,2,336,21018.490000038997,1.531211900169503,0
IL,EVASTON,"EVASTON, IL",6,1,1,333,19545.810000068,2.3402203225909055,0
IN,PIERCETON,"PIERCETON, IN",3,1,2,332,15802.109999982998,1.9678189842369174,0
IL,NEWARK,"NEWARK, IL",2,1,1,331,15928.209999874001,1.1341641415589625,0
IL,PEOTONE,"PEOTONE, IL",3,1,1,328,30249.080000465,2.782247396577884,1
IL,VIRGINIA,"VIRGINIA, IL",4,2,1,328,21174.450000088,2.959330685397757,0
IN,BROWNBURG,"BROWNBURG, IN",1,1,1,327,5613.020000079,5.277048032483108,0
IL,ROUND LAKE,"ROUND LAKE, IL",2,2,2,324,21762.890000055002,4.9186830802518005,0
IN,CONVERSE,"CONVERSE, IN",2,1,1,321,19249.659999908,1.6783318325775638,0
IL,WENONA,"WENONA, IL",2,1,1,317,22666.170000133,1.6279616354486897,0
IL,ROODHOUSE,"ROODHOUSE, IL",3,1,2,313,19303.740000094,3.7943916980441466,0
IL,CERRO GORDO,"CERRO GORDO, IL",1,1,1,312,19804.70999988,2.5756060788383572,0
IL,PERORIA,"PERORIA, IL",1,1,1,310,18178.68000006,2.9484724555854602,1
IL,TEUTOPOLIS,"TEUTOPOLIS, IL",1,1,1,310,18687.54000007,4.547794108498005,1
IL,VILLA GROVE,"VILLA GROVE, IL",2,1,1,304,20030.530000027997,1.2299465554716662,0
IL,DOLTON,"DOLTON, IL",3,1,1,302,27587.999999808,1.2069582426894618,0
IN,KENTLAND,"KENTLAND, IN",2,1,1,300,14211.67000006,2.3553091719430235,0
IL,CALUMET PARK,"CALUMET PARK, IL",12,4,2,292,19377.999999983,1.571857021707007,0
IN,"JEFFERSONVILLE,","JEFFERSONVILLE,, IN",2,1,1,290,19462.399999957,3.021358524677832,1
IL,HOOPESTON,"HOOPESTON, IL",6,5,2,284,30949.929999763,2.6077152371809813,0
IL,DUNLAP,"DUNLAP, IL",3,2,2,283,14801.530000127,2.4661730732778246,0
IN,MONROE,"MONROE, IN",5,1,3,271,14544.709999977,1.89287658949019,0
