check,value
ccd_directory_rows,28
crdc_chronic_rows,172
crdc_enrollment_2021_rows,128
discipline_total_rows,8
active_latest_schools,3
missing_school_names_in_chronic,0
missing_chronic_rate_total_rows,2
small_subgroup_rows_suppressed_from_main_equity_chart,8
