term,estimate,std.error,statistic,p.value,conf.low,conf.high,term_label,log_effect
activityOther,0.17532367883924654,0.6654016018566429,-2.6166474730822755,0.008879799685448586,0.03875576986664528,0.5742399665341088,Customer Activity: Other,1.741121420083083
budgetlow,0.43024319269413513,0.4015279654461302,-2.1004879817617312,0.03568593672917446,0.19444830292234377,0.9446648965701772,Customer Budget: Low,0.8434046657608361
budgetmedium,0.6095073462346904,0.3417142613771312,-1.4488838576740646,0.14737001986744974,0.3093098509554827,1.1913451933563657,Customer Budget: Medium,0.4951042772463415
activitystudent,0.6205077147324539,0.20558617379663643,-2.321251631428521,0.020273267062511192,0.41375932148590927,0.9276416972191435,Customer Activity: Student,0.47721724132458987
pricelow,0.64116012976908765,0.33403603452833264,-1.3306230312988072,0.18331308034177105,0.33282528412566775,1.2342644191369574,Venue Price: Low,0.444476040827123
payment_matchYes,0.7119991665363142,0.21508793644697186,-1.579254251898296,0.11427775058959998,0.4669925673648786,1.086849656437168,Payment Match: Yes,0.3396785381659107
alcohol_cleanNo alcohol,0.8482746872482898,0.2635036739635994,-0.6244724011819667,0.5323173898577815,0.506078050286909,1.4259069618915325,Alcohol: No Alcohol,0.16455077200031903
rambiencequiet,1.169499356503689,0.2921001882568568,0.5360344262163653,0.5919347579630432,0.6539254635461033,2.0647488993834258,Ambience: Quiet,0.15657575680995647
pricemedium,1.1308492781108541,0.25584054698066233,0.48064673655112383,0.6307675926743245,0.6854602694774026,1.8710043726642844,Venue Price: Medium,0.12296892398370979
price_at_or_below_budgetYes,0.9127698341054081,0.27070868283541294,-0.3371577434237271,0.7359979900469922,0.53611325628087,1.5505074721154462,Price Within Budget: Yes,0.0912715286299973
cuisine_matchYes,0.9330504721152646,0.16721676649242012,-0.41440810311648746,0.6785752555638436,0.6707341405000248,1.2928541232333544,Cuisine Match: Yes,0.06929598301139639
alcohol_cleanWine or beer,0.9885918073240463,0.26790505180635277,-0.0428277302563437,0.965838858716656,0.5847221983446885,1.6757392190908384,Alcohol: Wine Or Beer,0.01147376529307428
