crdc_id,ncessch,year,fips,leaid,race,sex,disability,lep,enrollment_crdc,psenrollment_crdc
172409005032,172409005032,2021,17,1724090,6,1,99,99,2,-2
172409005032,172409005032,2021,17,1724090,6,99,99,99,3,-2
172409005032,172409005032,2021,17,1724090,6,3,99,99,-2,-1
172409005032,172409005032,2021,17,1724090,7,2,99,99,21,-2
172409005032,172409005032,2021,17,1724090,7,1,99,99,27,-2
172409005032,172409005032,2021,17,1724090,7,99,99,99,48,-2
172409005032,172409005032,2021,17,1724090,7,3,99,99,-2,-1
172409005032,172409005032,2021,17,1724090,1,2,99,99,367,-2
172409005032,172409005032,2021,17,1724090,1,1,99,99,390,-2
172409005032,172409005032,2021,17,1724090,1,99,99,99,757,-2
172409005032,172409005032,2021,17,1724090,1,3,99,99,-2,-1
172409005034,172409005034,2021,17,1724090,99,2,99,99,6,-2
172409005034,172409005034,2021,17,1724090,99,1,99,99,11,-2
172409005034,172409005034,2021,17,1724090,99,99,99,99,17,-2
172409005034,172409005034,2021,17,1724090,99,3,99,99,-2,-1
172409005034,172409005034,2021,17,1724090,5,2,99,99,0,-2
172409005034,172409005034,2021,17,1724090,5,1,99,99,0,-2
172409005034,172409005034,2021,17,1724090,5,99,99,99,0,-2
172409005034,172409005034,2021,17,1724090,5,3,99,99,-2,-1
172409005034,172409005034,2021,17,1724090,4,2,99,99,0,-2
172409005034,172409005034,2021,17,1724090,4,1,99,99,0,-2
172409005034,172409005034,2021,17,1724090,4,99,99,99,0,-2
172409005034,172409005034,2021,17,1724090,4,3,99,99,-2,-1
172409005034,172409005034,2021,17,1724090,2,2,99,99,1,-2
172409005034,172409005034,2021,17,1724090,2,1,99,99,0,-2
172409005034,172409005034,2021,17,1724090,2,99,99,99,1,-2
172409005034,172409005034,2021,17,1724090,2,3,99,99,-2,-1
172409005034,172409005034,2021,17,1724090,3,2,99,99,2,-2
172409005034,172409005034,2021,17,1724090,3,1,99,99,2,-2
172409005034,172409005034,2021,17,1724090,3,99,99,99,4,-2
172409005034,172409005034,2021,17,1724090,3,3,99,99,-2,-1
172409005034,172409005034,2021,17,1724090,6,2,99,99,0,-2
172409005034,172409005034,2021,17,1724090,6,1,99,99,0,-2
172409005034,172409005034,2021,17,1724090,6,99,99,99,0,-2
172409005034,172409005034,2021,17,1724090,6,3,99,99,-2,-1
172409005034,172409005034,2021,17,1724090,7,2,99,99,0,-2
172409005034,172409005034,2021,17,1724090,7,1,99,99,1,-2
172409005034,172409005034,2021,17,1724090,7,99,99,99,1,-2
172409005034,172409005034,2021,17,1724090,7,3,99,99,-2,-1
172409005034,172409005034,2021,17,1724090,1,2,99,99,3,-2
172409005034,172409005034,2021,17,1724090,1,1,99,99,8,-2
172409005034,172409005034,2021,17,1724090,1,99,99,99,11,-2
172409005034,172409005034,2021,17,1724090,1,3,99,99,-2,-1
