model,split,roc_auc,average_precision,brier_score,transactions,fraud_cases,fraud_rate
balanced_logistic_regression,validation,0.9836964892601832,0.846233072265767,0.019582582541934616,,,
balanced_random_forest,train,0.9999718747905987,0.9843713528718945,0.00019292392359785367,199364.0,384.0,0.0019261250777472363
balanced_random_forest,validation,0.9463909025464166,0.8631568175036733,0.0003879878441448011,42721.0,56.0,0.001310830738980829
balanced_random_forest,test,0.9398050332606225,0.7779734169594639,0.00045763899102359897,42722.0,52.0,0.0012171714807359207
