feature,psi
hour_of_day,5.7068929018800185
V1,1.0139895913433592
V3,0.7504344352135524
V5,0.1674769566751921
V4,0.14796291303795261
V7,0.0741841726841782
V6,0.0675161400623067
V8,0.04208348529313395
Amount,0.024081632940536037
amount_log,0.024081632940536037
V2,0.021422285727134293
