,MSE,RMSE,MAE,R-Squared
Train,6256.934806960939,79.10078891490868,61.19943547275188,0.47969003754829986
Validation,6407.817329437479,80.04884339849939,62.07750870524464,0.4517809453856373
Test,6778.993596900741,82.33464396534876,63.13656809371165,0.4152519832593715
