Model,MSE,RMSE,MAE,R-Squared
Gradient Boosting Regressor,6853.742063769019,82.78733033362666,64.39888730251418,0.4179205405788796
MLP Regressor,6866.455520525238,82.86407858973175,62.73499385114853,0.4168408031205424
CatBoost Regressor,6873.768294062549,82.90819195991762,63.19967052849904,0.4162197387110763
Random Forest Regressor,7187.994678188259,84.78204219165907,64.25634615384615,0.3895328978428393
XGB Regressor,7278.157429140812,85.31211771571968,64.78227791181946,0.38187549188182146
AdaBoost Regressor,8000.410075743238,89.44501146371013,76.52478011278966,0.3205355076530275
Support Vector Regressor,12047.026631491557,109.75894784249509,77.22325016921013,-0.023138408776681718
Linear Regression,1.4900752259603555e+21,38601492535.39758,1063546009.9067798,-1.2655016397667546e+17
