iter	RMSE
349	78.21758824
350	78.19937478
351	78.18565589
352	78.18445855
353	78.17282567
354	78.1559822
355	78.14106753
356	78.12792867
357	78.1178826
358	78.10792926
359	78.08519589
360	78.07980248
361	78.06472985
362	78.05060602
363	78.03419822
364	78.01099195
365	77.98943024
366	77.96567806
367	77.96096596
368	77.94123089
369	77.9263037
370	77.92214759
371	77.89926278
372	77.8826061
373	77.87205223
374	77.86760268
375	77.8503876
376	77.82912628
377	77.81198371
378	77.79501548
379	77.7747598
380	77.75368084
381	77.72949561
382	77.71667655
383	77.69743156
384	77.67699828
385	77.66840996
386	77.65308537
387	77.63389802
388	77.62963854
389	77.61001731
390	77.5910339
391	77.58697231
392	77.57436619
393	77.56502608
394	77.55832826
395	77.55128158
396	77.52620618
397	77.52152415
398	77.5055815
399	77.49022108
400	77.48784212
401	77.47760831
402	77.463505
403	77.44472609
404	77.436587
405	77.43015735
406	77.4020647
407	77.39579644
408	77.38580073
409	77.38105452
410	77.3650851
411	77.34333736
412	77.32619027
413	77.30416955
414	77.28673868
415	77.26976381
416	77.25532407
417	77.25387342
418	77.25019325
419	77.24316039
420	77.21758509
421	77.21252816
422	77.20680908
423	77.20412011
424	77.19220492
425	77.18870417
426	77.16410941
427	77.15043327
428	77.13566127
429	77.11562196
430	77.09692936
431	77.09430565
432	77.07291381
433	77.06004136
434	77.04044807
435	77.02737668
436	77.02117058
437	77.00610722
438	76.99287791
439	76.97568698
440	76.96459926
441	76.95566776
442	76.94567193
443	76.93403238
444	76.93041369
445	76.91428531
446	76.91120001
447	76.90685406
448	76.89400534
449	76.87830205
450	76.86254241
451	76.85959899
452	76.8548624
453	76.8376538
454	76.8214471
455	76.80211142
456	76.80079595
457	76.78313606
458	76.77330598
459	76.7552992
460	76.74284118
461	76.72781558
462	76.71105659
463	76.70643604
464	76.70199226
465	76.67924075
466	76.66578519
467	76.6644597
468	76.65674872
469	76.65049714
470	76.63498747
471	76.62396954
472	76.62278259
473	76.6147213
474	76.61250804
475	76.59906146
476	76.59059672
477	76.56694453
478	76.55753031
479	76.55170488
480	76.53336106
481	76.51091802
482	76.49120134
483	76.473825
484	76.45616199
485	76.44186452
486	76.43931348
487	76.41997128
488	76.41836422
489	76.40598059
490	76.3929893
491	76.38093107
492	76.3681722
493	76.35206118
494	76.3400195
495	76.32671247
496	76.3125106
497	76.29254193
498	76.27994736
499	76.26301467
